2400104	POL GOVT THAI     	3  	                                                                                	          	         	12/05/2559	0830-1130	1  	LECT 	WE	  	  	  	  	  	  	0900-1200	PREMP	103  	PPW                          	COMM ARTS           	                    	                    	160	16/01/2559 20:00
2400104	POL GOVT THAI     	3  	                                                                                	          	         	12/05/2559	0830-1130	2  	LECT 	TH	  	  	  	  	  	  	1300-1600	MAHIT	412  	TLS                          	ECONOMICS           	                    	                    	170	16/01/2559 20:00
2400105	INTRO LAW         	3  	                                                                                	04/03/2559	0830-1030	16/05/2559	0830-1130	1  	LECT 	FR	  	  	  	  	  	  	0830-1130	POL3 	13081	PLC                          	                    	                    	                    	278	16/01/2559 20:00
2400107	TH SOC ECON/POL   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	MO	  	  	  	  	  	  	0830-1130	POL3 	13081	PPT                          	F,W ONLY            	                    	                    	5  	16/01/2559 20:00
2400116	POL GOV THAI      	3  	                                                                                	03/03/2559	0830-1030	17/05/2559	0830-1030	1  	LECT 	MO	  	  	  	  	  	  	0830-1130	POL3 	13081	PPT                          	                    	                    	                    	300	16/01/2559 20:00
2400206	INTRO COMPA POL   	3  	                                                                                	04/03/2559	1300-1500	16/05/2559	1300-1600	1  	LECT 	FR	  	  	  	  	  	  	1300-1600	POL1 	107  	SNS                          	                    	                    	                    	70 	16/01/2559 20:00
2400207	SOC PSYCHO        	3  	                                                                                	01/03/2559	1300-1500	11/05/2559	1300-1500	1  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL3 	13081	JUN                          	                    	                    	                    	300	16/01/2559 20:00
2400207	SOC PSYCHO        	3  	                                                                                	01/03/2559	1300-1500	11/05/2559	1300-1500	2  	LECT 	TU	  	  	  	  	  	  	1300-1600	POL3 	13081	JUN                          	4TH YEAR ONLY       	                    	                    	10 	16/01/2559 20:00
2400211	STATE CIV PUB POLI	3  	                                                                                	29/02/2559	1300-1500	10/05/2559	1300-1600	1  	LECT 	MO	  	  	  	  	  	  	1300-1600	POL3 	13081	PSP                          	                    	                    	                    	300	16/01/2559 20:00
2400212	VIOL MOD WLD POL  	3  	                                                                                	          	         	          	TDF      	1  	LECT 	FR	  	  	  	  	  	  	0900-1100	POL3 	616  	PPP                          	                    	                    	                    	30 	16/01/2559 20:00
2400212	VIOL MOD WLD POL  	3  	                                                                                	          	         	          	TDF      	1  	DISC 	FR	  	  	  	  	  	  	1100-1200	POL3 	616  	PPP                          	                    	                    	                    	30 	16/01/2559 20:00
