3600202	NUTRITION         	2  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1500	CUP13	712  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600204	HLTH SEXUALITY    	3  	                                                                                	          	         	          	TDF      	1  	LECT 	WE	  	  	  	  	  	  	1300-1600	CUP13	610  	STAFF                        	                    	                    	                    	60 	16/01/2559 20:00
3600205	FAM HLTH CARE     	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	CUP13	609  	STAFF                        	                    	                    	                    	60 	16/01/2559 20:00
3600205	FAM HLTH CARE     	3  	                                                                                	          	         	          	TDF      	2  	LECT 	TH	  	  	  	  	  	  	1300-1600	CUP13	610  	STAFF                        	                    	                    	                    	60 	16/01/2559 20:00
3600207	HLTH LIVING       	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	CUP13	701  	STAFF                        	                    	                    	                    	60 	16/01/2559 20:00
3600208	TOB ALC HLTH      	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1600	CUP13	709  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600209	EMER DISAS CARE   	3  	                                                                                	          	         	          	TDF      	1  	LECT 	TH	  	  	  	  	  	  	1300-1500	CUP13	901  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600209	EMER DISAS CARE   	3  	                                                                                	          	         	          	TDF      	1  	PRAC 	TH	  	  	  	  	  	  	1500-1700	CUP13	901  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600601	NURSING THEORIES  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	CUP5N	202  	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600601	NURSING THEORIES  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600603	INDIVIDUAL STD II 	2  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	BSB  	AR   	STAFF                        	                    	                    	                    	10 	16/01/2559 20:00
3600609	HLTH COUN         	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3600609	HLTH COUN         	3  	                                                                                	          	         	          	TDF      	1  	PRAC 	AR	  	  	  	  	  	  	AR-AR    	     	AR   	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3600610	HLTH COUN         	3  	                                                                                	          	         	          	TDF      	1  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3600610	HLTH COUN         	3  	                                                                                	          	         	          	TDF      	1  	PRAC 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	20 	16/01/2559 20:00
3600610	HLTH COUN         	3  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3600610	HLTH COUN         	3  	                                                                                	          	         	          	TDF      	2  	PRAC 	AR	  	  	  	  	  	  	AR-AR    	     	     	STAFF                        	                    	                    	                    	30 	16/01/2559 20:00
3600624	STAT RES NUR SCI  	2  	                                                                                	          	         	          	TDF      	1  	LECT 	SU	  	  	  	  	  	  	1300-1500	WKB12	AR   	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
3600624	STAT RES NUR SCI  	2  	                                                                                	          	         	          	TDF      	2  	LECT 	AR	  	  	  	  	  	  	AR-AR    	WKB12	AR   	STAFF                        	                    	                    	                    	40 	16/01/2559 20:00
