2000501,CON PDG PEACE CONF,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,CHULA,AR   ,STAFF                        ,06 JAN - 12 FEB 59  ,                    ,                    ,21 ,16/01/2559 20:00
2000501,CON PDG PEACE CONF,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,FWK  ,WE,  ,  ,  ,  ,  ,  ,1100-1600,CHULA,AR   ,STAFF                        ,                    ,                    ,                    ,21 ,16/01/2559 20:00
2000502,CONF RES TRM PEACE,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1100,CHULA,AR   ,STAFF                        ,15 FEB - 25 MAR 59  ,                    ,                    ,21 ,16/01/2559 20:00
2000502,CONF RES TRM PEACE,3  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,FWK  ,WE,  ,  ,  ,  ,  ,  ,1100-1600,CHULA,AR   ,STAFF                        ,                    ,                    ,                    ,21 ,16/01/2559 20:00
2002604,APP STAT METHOD   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,30 ,16/01/2559 20:00
2002605,LOGISTICS OPER MGT,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002607,COMP AID DSGN MANU,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,39 ,16/01/2559 20:00
2002609,FIN ANAL CONT SYS ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002611,COM DSGN MGT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002612,ENG INFO TECH     ,2  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002616,QUAL MGT TECH     ,2  ,C.F.                                                                            ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002626,HUMAN FAC IND     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002627,STRAT MKT         ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002628,FIN DECI MAKING   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002630,PROJ PLAN MGT CONT,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002640,FUN INT EN BUS MGT,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,40 ,16/01/2559 20:00
2002644,SUP CHAIN MGT     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002645,INN STRATEGY      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002646,TECH MGT          ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002647,BUS STG&STG MGT   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002648,OP STG IND        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
2002649,ADV TOP ENG MGT I ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MODULE              ,                    ,                    ,50 ,16/01/2559 20:00
