2200183,THAI CIV          ,3  ,                                                                                ,          ,         ,04/05/2559,1300-1500,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,402  ,STAFF                        ,                    ,                    ,                    ,150,16/01/2559 20:00
2200223,PNTG TH SOC       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1600-1900,MCS  ,60117,DBT                          ,GENED-HU            ,                    ,                    ,30 ,16/01/2559 20:00
2200227,TH CL MUS DRAM    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,301  ,SAL,MSL                      ,GENED-HU            ,                    ,                    ,45 ,16/01/2559 20:00
2200330,TIPITAKA/LIFE     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,501/9,SNC                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2200387,ARCHAEO THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,BRK  ,303  ,SAL                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200387,ARCHAEO THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,TH,  ,  ,  ,  ,  ,  ,1500-1600,BRK  ,303  ,SAL                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200387,ARCHAEO THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,SAL                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200387,ARCHAEO THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,BRK  ,303  ,SAL                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200387,ARCHAEO THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,FWK  ,TH,  ,  ,  ,  ,  ,  ,1500-1600,BRK  ,303  ,SAL                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200387,ARCHAEO THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,SAL                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200389,ICONOGRAPHY       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1230,BRK  ,304  ,SAL                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200389,ICONOGRAPHY       ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1230,BRK  ,304  ,SAL                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200390,FOR CULT TH ART   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0930-1230,MCS  ,50129,JCR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2200391,CONT ART TH SEA   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,40110,DBT                          ,GENED-HU            ,                    ,                    ,30 ,16/01/2559 20:00
2200394,CUST/FEST TH SOC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,304  ,PBP                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2200394,CUST/FEST TH SOC  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,301  ,PBP                          ,GENED-HU            ,                    ,                    ,30 ,16/01/2559 20:00
2200396,REL RIT TH SOC    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,BRK  ,301  ,PBP                          ,GENED-HU            ,                    ,                    ,30 ,16/01/2559 20:00
2200602,CONTEMP THAI      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,AR   ,CCW                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200603,THAI BUD          ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,AR   ,PCJ                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200619,TH SEA PEO CULT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2200619,TH SEA PEO CULT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,DISC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,CHALE,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2200630,THAI LIT          ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MCS  ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200702,DIREC READ THAI   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,MCS  ,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2200703,INDE STUD         ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2200811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2200828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,MCS  ,IA   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
2200894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,MCS  ,AR   ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
