2300200,SCI TECH SOC      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,TAB  ,228  ,WWL                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2300200,SCI TECH SOC      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,TH,  ,  ,  ,  ,  ,  ,1500-1600,TAB  ,228  ,WWL                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
2300500,TECHNOPRENEURSHIP ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2300500,TECHNOPRENEURSHIP ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1300-1600,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2300601,RESEARCH TECH     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-0900,BIO1 ,AR   ,STAFF                        ,BIOSCI PHD ONLY     ,                    ,                    ,10 ,16/01/2559 20:00
2300601,RESEARCH TECH     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,0900-1200,BIO1 ,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2300602,INT CON PHI BIOSCI,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1100,BIO1 ,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2300602,INT CON PHI BIOSCI,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1100-1300,BIO1 ,AR   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
2300652,INNO SYN II       ,3  ,2300651                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1630-1830,     ,AR   ,STAFF                        ,TIP PH.D ONLY       ,                    ,                    ,40 ,16/01/2559 20:00
2300652,INNO SYN II       ,3  ,2300651                                                                         ,          ,         ,          ,TDF      ,1  ,STU  ,SA,  ,  ,  ,  ,  ,  ,1830-1930,     ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
2300652,INNO SYN II       ,3  ,2300651                                                                         ,          ,         ,          ,TDF      ,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
