2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,1  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,NPG                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,10 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,WWV                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,11 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,PSU                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,12 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,LSN                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,13 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,CSB                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,14 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,TDS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,15 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,TKN                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,16 ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,NRK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,2  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,CKL                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,3  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,KKV                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,4  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,CFP                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,5  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,CCB                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,6  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,PPS                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2501119,ARCH DSGN I       ,4  ,2501117                                                                         ,          ,         ,          ,TDF      ,7  ,STU  ,TU,  ,  ,  ,  ,  ,  ,1300-1700,NART ,504  ,TTK                          ,                    ,                    ,                    ,20 ,16/01/2559 20:00
