2600600,CORP GOV          ,3  ,                                                                                ,          ,         ,          ,TDF      ,30 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,208  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2600605,AIRPORT PLAN/MGT  ,3  ,2600601 & 2600602 OR C.F.                                                       ,          ,         ,          ,TDF      ,20 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,AR   ,STAFF                        ,MBA-AVIATION        ,                    ,                    ,60 ,16/01/2559 20:00
2600607,AVIA LOG MGT      ,3  ,2600601 & 2600602 OR C.F.                                                       ,          ,         ,          ,TDF      ,20 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,225  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2600610,HUM FAC AVIA      ,3  ,2600601 & 2600602 OR C.F.                                                       ,          ,         ,          ,TDF      ,20 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,225  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
2600618,SEM CG RISK MGT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,30 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,317  ,STAFF                        ,                    ,                    ,                    ,57 ,16/01/2559 20:00
2600619,FRAUD AUD         ,3  ,                                                                                ,          ,         ,          ,TDF      ,30 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,318  ,JAR                          ,MS CG               ,                    ,                    ,25 ,16/01/2559 20:00
2600620,PRIN INT AUD      ,3  ,                                                                                ,          ,         ,          ,TDF      ,30 ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,317  ,NTG                          ,MS CG               ,                    ,                    ,45 ,16/01/2559 20:00
2600621,INTRN INT AUD     ,1  ,2600620                                                                         ,          ,         ,          ,TDF      ,30 ,FWK  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,MS CG               ,                    ,                    ,1  ,16/01/2559 20:00
2600700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,MBA-REGULAR         ,                    ,                    ,90 ,16/01/2559 20:00
2600700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,10 ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,MBA-EXEC            ,                    ,                    ,70 ,16/01/2559 20:00
2600700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,20 ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,MBA-AVIATION        ,                    ,                    ,10 ,16/01/2559 20:00
2600700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,21 ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,MBA-ENGLISH         ,                    ,                    ,20 ,16/01/2559 20:00
2600700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,22 ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,MBA-HOSPITAL        ,                    ,                    ,10 ,16/01/2559 20:00
2600700,SPECIAL PROJECT   ,3  ,                                                                                ,          ,         ,          ,TDF      ,8  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM1 ,AR   ,STAFF                        ,MBA-YOUNG EXEC      ,                    ,                    ,20 ,16/01/2559 20:00
2600712,SPECIAL PROJECT I ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,IT                  ,                    ,                    ,100,16/01/2559 20:00
2600712,SPECIAL PROJECT I ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,IT-EXEC             ,                    ,                    ,100,16/01/2559 20:00
2600713,SPECIAL PROJECT II,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,COM8 ,AR   ,STAFF                        ,IT                  ,                    ,                    ,150,16/01/2559 20:00
