2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,507  ,PCR,CTA,SBC                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,509  ,PKK,SYS,VMN                  ,                    ,                    ,                    ,21 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,606  ,PTT,WKM,PPS                  ,                    ,                    ,                    ,17 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,607  ,TTN,RLN                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,608  ,TPP,DKP,NHD                  ,                    ,                    ,                    ,19 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,609  ,PTC,PVR,RPK                  ,                    ,                    ,                    ,21 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,7  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,610  ,CYS,JCC,VLN                  ,                    ,                    ,                    ,18 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,8  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,611  ,STS,KBT,SBC                  ,                    ,                    ,                    ,21 ,16/01/2559 20:00
2700200,PROF TCHG PRAC I  ,1  ,                                                                                ,          ,         ,          ,TDF      ,9  ,FWK  ,FR,  ,  ,  ,  ,  ,  ,1600-1800,EDU3 ,701  ,PCS,PSR,KWG                  ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,UPL                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,10 ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,SBK                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PSP                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PNN                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,RCC                          ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,MEY                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,SLM                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,7  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,KSN                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,8  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,IPP                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700501,IND STUD I        ,3  ,                                                                                ,          ,         ,          ,TDF      ,9  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PLR                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,UKC                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,KKS                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PLN                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,JTS                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PST                          ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,SBN                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,7  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PLR                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,8  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,DUS                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700503,IND STUD III      ,3  ,                                                                                ,          ,         ,          ,TDF      ,9  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,PTK                          ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2700505,RESEARCH PROJECT  ,8  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,CLK                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2700506,PRAC TCHG PROF I  ,8  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/P  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
2700507,PRAC TCHG PROF II ,8  ,2700506                                                                         ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,STAFF                        ,                    ,                    ,                    ,373,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,607  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,10 ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,606  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,2  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,606  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,3  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,609  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,4  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,509  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,5  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,610  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,6  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,608  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,7  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,508  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,8  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,507  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716302,DES MGT INST      ,2  ,                                                                                ,02/03/2559,1300-1500,09/05/2559,1300-1500,9  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,511  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
2716400,TCHG PROF EXP     ,6  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2716400,TCHG PROF EXP     ,6  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
2716407,SEM SEC ED        ,2  ,2700483 C.F.                                                                    ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1430-1730,EDU3 ,AR   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00,16/01/2559 20:00
2716483,PRAC TCH PROF     ,6  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,EDU3 ,IA   ,STAFF                        ,                    ,                    ,                    ,2  ,16/01/2559 20:00
2716600,PEDAGOGICAL SCI   ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,SA,  ,  ,  ,  ,  ,  ,1600-1900,EDU3 ,409  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716601,RES DEV CURR INSTR,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,EDU3 ,505  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716601,RES DEV CURR INSTR,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1500-1700,EDU3 ,505  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716601,RES DEV CURR INSTR,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,SU,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,505  ,STAFF                        ,C&I EX              ,                    ,                    ,20 ,16/01/2559 20:00
2716601,RES DEV CURR INSTR,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,SU,  ,  ,  ,  ,  ,  ,1000-1200,EDU3 ,505  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716603,CURRICULUM DEV    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,703  ,YSF,WWW                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716603,CURRICULUM DEV    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1000-1200,EDU3 ,703  ,YSF,WWW                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
2716603,CURRICULUM DEV    ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,SA,  ,  ,  ,  ,  ,  ,0800-1000,EDU3 ,701  ,YSF,WWW                      ,C&I EX              ,                    ,                    ,20 ,16/01/2559 20:00
2716603,CURRICULUM DEV    ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,SA,  ,  ,  ,  ,  ,  ,1000-1200,EDU3 ,701  ,YSF,WWW                      ,                    ,                    ,                    ,20 ,16/01/2559 20:00
