3000109,FUND CELL MOL BIO ,3  ,                                                                                ,02/03/2559,1300-1600,04/05/2559,1300-1600,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1000,PADTA,230/1,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000109,FUND CELL MOL BIO ,3  ,                                                                                ,02/03/2559,1300-1600,04/05/2559,1300-1600,1  ,LAB  ,FR,  ,  ,  ,  ,  ,  ,0800-1100,PADTA,230/1,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000257,CRIT THK ETH/LAW  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000257,CRIT THK ETH/LAW  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000273,ENDOC SYS I       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000274,METAB/NUTRI       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000274,METAB/NUTRI       ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,IA   ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000276,EMB/GENE MED      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000276,EMB/GENE MED      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,IA   ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000276,EMB/GENE MED      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,IA   ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000278,NEUROSCIENCE      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000278,NEUROSCIENCE      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000281,HUMAN LIFE        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000360,PRINC PREV MED    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000362,EPID/BIOSTAT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/T  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000369,FOUND PATHO DIS   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000369,FOUND PATHO DIS   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,PADTA,229  ,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000376,RESP SYS II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000376,RESP SYS II       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
3000380,ALIMENTARY SYS II ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,O.P.R,CHALE,STAFF                        ,                    ,                    ,                    ,350,16/01/2559 20:00
