3100507,VET SOC           ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,OCS                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3100700,RES METH VET SCI  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1400,VET6 ,206  ,CRK,STAFF                    ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3100700,RES METH VET SCI  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,DISC ,WE,  ,  ,  ,  ,  ,  ,1400-1500,VET6 ,206  ,CRK,STAFF                    ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3100702,SEM VET CLIN SC II,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3100703,GEN CLIN PRAC I   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,15 ,16/01/2559 20:00
3100704,GEN CLIN PRAC II  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3100705,PERS INNO BIOSCI  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100706,SEM VETBIOSCI I   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100707,SEM VETBIOSCI II  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100708,SEM VETBIOSCI III ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100709,SEM VETBIOSCI IV  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100710,SEM VETBIOSCI V   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100711,SEM VETBIOSCI VI  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100712,SEM VETBIOSCI VII ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100713,SEM VETBIOSCI VIII,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100714,SEM VET BIOSCI    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,SDV                          ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3100715,MOL BIOL GEN VET  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/L  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3100826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3100897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3101101,COMP APP PROF     ,1  ,                                                                                ,          ,         ,03/05/2559,0830-1130,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,806  ,KSS,STAFF                    ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3101101,COMP APP PROF     ,1  ,                                                                                ,          ,         ,03/05/2559,0830-1130,2  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,806  ,KSS,STAFF                    ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3101102,VET DEV ANAT      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,B03  ,WKK,STAFF                    ,                    ,                    ,                    ,150,16/01/2559 20:00
3101102,VET DEV ANAT      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,601  ,WKK,STAFF                    ,                    ,                    ,                    ,150,16/01/2559 20:00
3101210,VET ANAT II       ,4  ,3101208                                                                         ,          ,         ,          ,TDF      ,1  ,L/L  ,TU,  ,  ,  ,  ,  ,  ,0800-1200,VET6 ,202  ,KSW,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3101713,SEM MICROANAT     ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,205  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3101714,ADV VET HISTO     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,205  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3101714,ADV VET HISTO     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,601  ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3101724,ADV NEURO TECH    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3101724,ADV NEURO TECH    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
3101727,ADV GROS ANAT TECH,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3101727,ADV GROS ANAT TECH,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00
3101729,APP ANAT FARM ANL ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3102113,BIOCHEMISTRY I    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,B03  ,SAK,STAFF                    ,                    ,                    ,                    ,150,16/01/2559 20:00
3102113,BIOCHEMISTRY I    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TH,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,701  ,SAK,STAFF                    ,                    ,                    ,                    ,150,16/01/2559 20:00
3102217,VET PHYSIOL I     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,202  ,SPC,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3102217,VET PHYSIOL I     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TH,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,202  ,SPC,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3102218,VET PHYSIOL II    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,202  ,SSK,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3102218,VET PHYSIOL II    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,202  ,SSK,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3102315,VET CLIN CHEM     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,VET6 ,201  ,STAFF                        ,VET                 ,                    ,                    ,105,16/01/2559 20:00
3102315,VET CLIN CHEM     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1400,VET6 ,201  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3102315,VET CLIN CHEM     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,701  ,STAFF                        ,                    ,                    ,                    ,105,16/01/2559 20:00
3102504,DERM CATS EXO PETS,1  ,3143406                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,MSP                          ,VET                 ,                    ,                    ,30 ,16/01/2559 20:00
3102705,ADV PHY ALIM      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,KAP                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102723,SEM ANIM PHYSIO I ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3102724,SEM ANIM PHYSIO II,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3102726,THERMO ENV PHYSIO ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET1 ,IA   ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3102733,IND ANIM PHY      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,FWK  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,3  ,16/01/2559 20:00
3102738,RES METH ANI PHY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3102738,RES METH ANI PHY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3102739,MASTER THESIS SEM ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3102741,ADV ANI BIOCHEM   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
3102742,VET CELL BIOL     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102743,ADV ANI PHYS      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,VET6 ,IA   ,CBN                          ,VET                 ,                    ,                    ,1  ,16/01/2559 20:00
3102743,ADV ANI PHYS      ,4  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1000-1200,VET6 ,IA   ,CBN                          ,                    ,                    ,                    ,1  ,16/01/2559 20:00
3102744,ADV ELECTROPHYSIOL,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102813,THESIS            ,18 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,4  ,16/01/2559 20:00
3102816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102830,DISSERTATION      ,72 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3102894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET6 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,10 ,16/01/2559 20:00
3102897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VET5 ,IA   ,STAFF                        ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103104,EXOTIC PETS CARE  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,VET6 ,B03  ,CKV                          ,VET                 ,                    ,                    ,100,16/01/2559 20:00
3103111,PRIN ANL HUS I    ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,VET6 ,B03  ,SCS,STAFF                    ,                    ,                    ,                    ,150,16/01/2559 20:00
3103214,LAB ANL SCI       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1500,VET6 ,202  ,UJK,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3103215,ANL BREEDING      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-1000,VET6 ,202  ,NIT,STAFF                    ,                    ,                    ,                    ,120,16/01/2559 20:00
3103702,STAT ANAL AB II   ,3  ,3103701                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,VET6 ,IA   ,NIT                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103711,SEM AB II         ,1  ,3103705                                                                         ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1000,VET6 ,IA   ,DSN                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
3103714,BIOSTAT ANL SCI   ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,VET6 ,IA   ,CKV                          ,VET                 ,                    ,                    ,5  ,16/01/2559 20:00
