3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,10 ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,10 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,11 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,12 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,13 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,14 ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
3200101,PROF DEV I        ,2  ,                                                                                ,          ,         ,          ,TDF      ,7  ,L/P  ,FR,  ,  ,  ,  ,  ,  ,0800-1000,DEN16,509  ,STAFF                        ,                    ,                    ,                    ,10 ,16/01/2559 20:00
