3500230,ART/TECHNOLOGY    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/S  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,FAA1 ,A112 ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3500230,ART/TECHNOLOGY    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,STU  ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3500230,ART/TECHNOLOGY    ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,     ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3500230,ART/TECHNOLOGY    ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,STU  ,MO,  ,  ,  ,  ,  ,  ,1400-1600,     ,AR   ,STAFF                        ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3500300,RSRCH RPT WRITING ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,607  ,JSP                          ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3500300,RSRCH RPT WRITING ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,FAA2 ,B402 ,WAS                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3500300,RSRCH RPT WRITING ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,FA4  ,AR   ,DVP                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3500300,RSRCH RPT WRITING ,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,FAA1 ,A2063,PPR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3500300,RSRCH RPT WRITING ,3  ,                                                                                ,          ,         ,          ,TDF      ,5  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,302  ,NPR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3500300,RSRCH RPT WRITING ,3  ,                                                                                ,          ,         ,          ,TDF      ,6  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,BRK  ,604  ,VVD                          ,                    ,                    ,                    ,40 ,16/01/2559 20:00
3500602,SEM PHIL AES FA   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,BRK  ,301  ,KPV                          ,                    ,                    ,                    ,25 ,16/01/2559 20:00
