3700104,INT HC NEW GEN    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,200,16/01/2559 20:00
3700108,HLTH PREV INFC DIS,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,200,16/01/2559 20:00
3700209,APP MACROMOL MED  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1100,CUP1A,1414 ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3700209,APP MACROMOL MED  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-1100,CUP1A,1414 ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3700409,MOL BIOL DIAG LAB ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,301  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3700460,HLTH SCI RES      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP3A,3202 ,STAFF                        ,ALLI(ND)            ,                    ,                    ,40 ,16/01/2559 20:00
3700460,HLTH SCI RES      ,2  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP1A,1414 ,STAFF                        ,ALLI(MT)            ,                    ,                    ,120,16/01/2559 20:00
3706120,EQUIP RAD I       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,L/P  ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3741102,LIVE SMART HLTHY  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1000-1200,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,100,16/01/2559 20:00
3741103,BSC TECH MOLBIO   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1030-1230,CUP13,301  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3741204,CLIN CHEM LAB I   ,1  ,CONCUR 3741203                                                                  ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CUP4A,4104 ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3741204,CLIN CHEM LAB I   ,1  ,CONCUR 3741203                                                                  ,          ,         ,          ,TDF      ,2  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP4A,4104 ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3741205,CLIN CHEM I       ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1100-1200,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3741313,CLIN BAC          ,2  ,CONCUR 3741314                                                                  ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
3741314,CLIN BAC LAB      ,2  ,CONCUR 3741313                                                                  ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
3741316,CLIN PARASIT      ,2  ,COREQ 3741317                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-0900,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3741317,CLIN PARASIT LAB  ,2  ,COREQ 3741316                                                                   ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
3741320,RSRCH MTD MD SCI  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1500,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,150,16/01/2559 20:00
3741322,TRANSFN SCI I     ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1500-1700,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3741323,TRANSFN SCI LAB I ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,301  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3741324,CLIN VIRO MYCO    ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0800-0900,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3741325,CLIN VIRO MYCO LAB,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,FR,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,301  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3741326,PROF LAW/ETH MTECH,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0830-0930,CUP4 ,421  ,STAFF                        ,                    ,                    ,                    ,90 ,16/01/2559 20:00
3741413,CLIN LAB PRAC II  ,2  ,CONCUR 3741414                                                                  ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP4A,4110 ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
3741414,CLIN LAB PRAC III ,2  ,CONCUR 3741413                                                                  ,          ,         ,          ,TDF      ,1  ,PRAC ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP13,AR   ,STAFF                        ,                    ,                    ,                    ,120,16/01/2559 20:00
3742100,PHY THR DAILY LIFE,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,308  ,STAFF                        ,GENED-SC            ,                    ,                    ,100,16/01/2559 20:00
3742100,PHY THR DAILY LIFE,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,301  ,STAFF                        ,GENED-SC            ,                    ,                    ,100,16/01/2559 20:00
3742100,PHY THR DAILY LIFE,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,CUP13,301  ,STAFF                        ,GENED-SC            ,                    ,                    ,100,16/01/2559 20:00
3742100,PHY THR DAILY LIFE,3  ,                                                                                ,          ,         ,          ,TDF      ,4  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP13,308  ,STAFF                        ,MED 583XXXXX 30 ONLY,                    ,                    ,118,16/01/2559 20:00
3742102,EXERCISE THERAPY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,CUP4 ,421  ,STAFF                        ,GENED-SC            ,                    ,                    ,150,16/01/2559 20:00
3742102,EXERCISE THERAPY  ,3  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,610  ,STAFF                        ,GENED-SC            ,                    ,                    ,1  ,16/01/2559 20:00
3742103,INTRO WT CONT     ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,SA,  ,  ,  ,  ,  ,  ,0900-1200,CUP3A,3102 ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3742106,BLC BODY MIND QOL ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,CUP13,909  ,STAFF                        ,GENED-SC            ,                    ,                    ,50 ,16/01/2559 20:00
3742110,ROLE PT           ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1600-1700,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742202,HUMAN ANATOMY II  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742202,HUMAN ANATOMY II  ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LAB  ,FR,  ,  ,  ,  ,  ,  ,1300-1600,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742204,MICRO IMMUNO PT   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0830-0930,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3742212,THER EXS          ,3  ,COREQ 37422013017211                                                           ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00,16/01/2559 20:00
3742212,THER EXS          ,3  ,COREQ 37422013017211                                                           ,          ,         ,          ,TDF      ,1  ,LAB  ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,IA   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00,16/01/2559 20:00
3742213,KINESIOLOGY       ,2  ,COREQ 37422013017211                                                           ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0900-1000,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00,16/01/2559 20:00
3742213,KINESIOLOGY       ,2  ,COREQ 37422013017211                                                           ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,AR   ,STAFF                        ,                    ,                    ,                    ,1  ,16/01/2559 20:00,16/01/2559 20:00
3742219,ELECTROTHERAPY    ,2  ,COREQ 3742201                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3742220,ELECTROTHERAPY LAB,2  ,COREQ 3742219                                                                   ,          ,         ,          ,TDF      ,1  ,LAB  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,CUP2A,232  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3742221,BIOMECH HM        ,2  ,COREQ 3742201                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1000,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3742222,BIOMECH HM LAB    ,1  ,COREQ 3742221                                                                   ,          ,         ,          ,TDF      ,1  ,LAB  ,WE,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,70 ,16/01/2559 20:00
3742315,PT WOM HLTH I     ,1  ,COREQ 3018301                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,222  ,STAFF                        ,10 MAR - 28 APR 16  ,(2ND 9 WEEKS)       ,                    ,80 ,16/01/2559 20:00
3742316,GERIA PT          ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,222  ,STAFF                        ,19 MAR - 27 APRIL 16,(2ND 9 WEEKS)       ,                    ,80 ,16/01/2559 20:00
3742319,MVT DEV LIFE SPAN ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,CUP2A,234  ,STAFF                        ,                    ,                    ,                    ,60 ,16/01/2559 20:00
3742321,EVIDENCE BASED PT ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,0800-1100,CUP1A,1200 ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742322,SEM PT RES        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1500-1600,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742323,PT SP COND        ,1  ,COREQ 37422013742202,3017211                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,222  ,STAFF                        ,7 JAN - 3 MAR 16    ,                    ,                    ,80 ,16/01/2559 20:00,16/01/2559 20:00
3742324,THER EX II        ,1  ,COREQ 3742215                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1400,CUP2A,234  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742325,PRAC THER EX II   ,1  ,COREQ 3742324                                                                   ,          ,         ,          ,TDF      ,1  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1400-1700,CUP2A,232  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742326,PREVENT PT        ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,AR   ,STAFF                        ,8 MAR - 26 APR 16   ,(2ND 9 WEEKS)       ,                    ,80 ,16/01/2559 20:00
3742332,PT INTERN I       ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,232  ,STAFF                        ,(1ST 9 WEEKS)       ,                    ,                    ,80 ,16/01/2559 20:00
3742342,CARDIO PT II      ,1  ,COREQ 37423403742341                                                           ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,0800-0900,CUP2A,232  ,STAFF                        ,9 WEEKS             ,                    ,                    ,80 ,16/01/2559 20:00,16/01/2559 20:00
3742343,CARDIO PT PRAC II ,1  ,COREQ 3742342                                                                   ,          ,         ,          ,TDF      ,1  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,0900-1200,CUP2A,232  ,STAFF                        ,9 WEEKS             ,                    ,                    ,80 ,16/01/2559 20:00
3742346,MUSCUL PT II      ,1  ,COREQ 37422013742347                                                           ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,1300-1400,CUP2A,232  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00,16/01/2559 20:00
3742347,MUSCUL PT PRAC II ,1  ,COREQ 3742346                                                                   ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1400-1700,CUP2A,234  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742350,NEURO PT II       ,1  ,COREQ 3742348                                                                   ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,CUP2A,232  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742351,NEURO PT PRAC II  ,1  ,COREQ 3742350                                                                   ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,0900-1200,CUP2A,232  ,STAFF                        ,(2ND 9 WEEKS)       ,                    ,                    ,80 ,16/01/2559 20:00
3742354,PED PT II         ,1  ,COREQ 37423523742353                                                           ,          ,         ,          ,TDF      ,1  ,LECT ,WE,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,234  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00,16/01/2559 20:00
3742355,PED PT PRAC II    ,1  ,COREQ 3742354                                                                   ,          ,         ,          ,TDF      ,1  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,232  ,STAFF                        ,                    ,                    ,                    ,80 ,16/01/2559 20:00
3742356,BSC ACUPOINTS PT  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1700,CUP2A,234  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742358,MANIP PHYS LOWER  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0800-1000,CUP2A,222  ,STAFF                        ,2 ND 9 WEEKS        ,                    ,                    ,16 ,16/01/2559 20:00
3742358,MANIP PHYS LOWER  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1000-1200,CUP2A,222  ,STAFF                        ,                    ,                    ,                    ,16 ,16/01/2559 20:00
3742432,PRAC PT IV        ,3  ,COREQ 3742431                                                                   ,          ,         ,          ,TDF      ,1  ,CLIN ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,CUP2A,AR   ,STAFF                        ,(1ST 9 WEEKS)       ,                    ,                    ,80 ,16/01/2559 20:00
3742502,EVID PRAC PT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0800-0900,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742502,EVID PRAC PT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,0900-1100,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742502,EVID PRAC PT      ,2  ,                                                                                ,          ,         ,          ,TDF      ,1  ,TUT  ,MO,  ,  ,  ,  ,  ,  ,1100-1200,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742504,CUR TOP MVT SCI   ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,WE,  ,  ,  ,  ,  ,  ,1300-1400,CUP2A,231  ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
3742514,SEM PT            ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,225  ,STAFF                        ,9 WEEKS             ,                    ,                    ,10 ,16/01/2559 20:00
3742514,SEM PT            ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,SMNA ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUP2A,225  ,STAFF                        ,FOREIGNSTUDENT      ,9 WEEKS             ,                    ,5  ,16/01/2559 20:00
