3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1000-1200,CUSC ,BATMI,CYK                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,10 ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1000-1200,CUSC ,BATMI,NKK                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,2  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1300-1500,CUSC ,BATMI,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,3  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1000-1200,CUSC ,BATMI,BCR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,4  ,PRAC ,TU,  ,  ,  ,  ,  ,  ,1300-1500,CUSC ,BATMI,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,5  ,PRAC ,WE,  ,  ,  ,  ,  ,  ,1300-1500,CUSC ,BATMI,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,6  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1000-1200,CUSC ,BATMI,SKK                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,7  ,PRAC ,TH,  ,  ,  ,  ,  ,  ,1300-1500,CUSC ,BATMI,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,8  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1000-1200,CUSC ,BATMI,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900106,SP ACT-BADMINTON  ,1  ,                                                                                ,          ,         ,          ,TDF      ,9  ,PRAC ,FR,  ,  ,  ,  ,  ,  ,1300-1500,CUSC ,BATMI,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
3900107,SP ACT-BODY CONDIT,1  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,MO,  ,  ,  ,  ,  ,  ,1300-1500,BSB2 ,202/1,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
