5100101,POP/DEV           ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,POL3 ,507  ,PSM                          ,GENED-SO            ,                    ,                    ,50 ,16/01/2559 20:00
5100101,POP/DEV           ,3  ,                                                                                ,          ,         ,          ,TDF      ,3  ,LECT ,WE,  ,  ,  ,  ,  ,  ,1300-1600,POL3 ,507  ,STAFF                        ,                    ,                    ,                    ,50 ,16/01/2559 20:00
5100501,INTRO POP STUD    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,POL1 ,107  ,RKB                          ,                    ,                    ,                    ,70 ,16/01/2559 20:00
5100605,DEM/SOC CONCEPTS  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VSID3,302  ,RKB                          ,                    ,                    ,                    ,50 ,16/01/2559 20:00
5100656,PRACT POP RSCH    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,VSID3,302  ,PXT,WWC                      ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100656,PRACT POP RSCH    ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,PXT,WWC                      ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100663,MIGRA GLOBAL      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,1300-1600,VSID3,201  ,PWS                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100670,SPEC TOP DEM      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TU,  ,  ,  ,  ,  ,  ,1300-1600,VSID3,201  ,TNS                          ,ENG SECT            ,                    ,                    ,30 ,16/01/2559 20:00
5100701,DEMOGRAPHY AGING  ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,TH,  ,  ,  ,  ,  ,  ,0900-1200,VSID3,201  ,VPM                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100705,SEM DEM PUB POL   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,1300-1600,VSID3,201  ,PSM                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100750,ADV STAT SS RES   ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,PRK                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100753,ADV DEM ANAL      ,3  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,MO,  ,  ,  ,  ,  ,  ,0900-1200,VSID3,201  ,WPR                          ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5100811,THESIS            ,12 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDVS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,VSID3,IA   ,STAFF                        ,                    ,                    ,                    ,100,16/01/2559 20:00
5100816,THESIS            ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,5  ,16/01/2559 20:00
5100826,DISSERTATION      ,36 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
5100828,DISSERTATION      ,48 ,                                                                                ,          ,         ,          ,TDF      ,1  ,IDPS ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,     ,STAFF                        ,                    ,                    ,                    ,25 ,16/01/2559 20:00
5100894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,VSID3,201  ,PXT,WWC                      ,                    ,                    ,                    ,50 ,16/01/2559 20:00
5100894,DOC DISSERT SEM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,2  ,LECT ,FR,  ,  ,  ,  ,  ,  ,0900-1200,VSID3,302  ,PSM                          ,ENG SECT            ,                    ,                    ,20 ,16/01/2559 20:00
5100897,QUALIFYING EXAM   ,0  ,                                                                                ,          ,         ,          ,TDF      ,1  ,LECT ,IA,  ,  ,  ,  ,  ,  ,IA-IA    ,     ,IA   ,STAFF                        ,                    ,                    ,                    ,20 ,16/01/2559 20:00
