5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,1  ,L/P  ,TU,  ,  ,  ,  ,  ,  ,0800-1100,ENG3 ,301  ,STAFF                        ,ENGINEERING         ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,1  ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG3 ,301  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,10 ,L/P  ,MO,  ,  ,  ,  ,  ,  ,1300-1600,ENG3 ,205  ,STAFF                        ,ENGINEERING         ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,10 ,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,ENG3 ,205  ,STAFF                        ,                    ,                    ,                    ,33 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,100,L/P  ,FR,  ,  ,  ,  ,  ,  ,1300-1600,MAHIT,716  ,STAFF                        ,EDUCATION           ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,100,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MAHIT,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,101,L/P  ,FR,  ,  ,  ,  ,  ,  ,0900-1200,PINIT,1205 ,STAFF                        ,COMM ARTS           ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,101,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,102,L/P  ,FR,  ,  ,  ,  ,  ,  ,0900-1200,PINIT,1206 ,STAFF                        ,COMM ARTS           ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,102,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,103,L/P  ,FR,  ,  ,  ,  ,  ,  ,0900-1200,PINIT,1207 ,STAFF                        ,COMM ARTS           ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,103,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,     ,AR   ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,104,L/P  ,FR,  ,  ,  ,  ,  ,  ,0900-1200,PINIT,1208 ,STAFF                        ,COMM ARTS           ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,104,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PINIT,1205 ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,105,L/P  ,FR,  ,  ,  ,  ,  ,  ,0900-1200,PINIT,1209 ,STAFF                        ,COMM ARTS           ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,105,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,PINIT,1209 ,STAFF                        ,                    ,                    ,                    ,32 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,106,L/P  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MAHIT,502  ,STAFF                        ,ECONOMICS           ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,106,PRAC ,AR,  ,  ,  ,  ,  ,  ,AR-AR    ,MAHIT,AR   ,STAFF                        ,                    ,                    ,                    ,30 ,16/01/2559 20:00
5500112,EXP ENG II        ,3  ,5500111                                                                         ,29/02/2559,0830-1030,02/05/2559,0830-1030,107,L/P  ,TU,  ,  ,  ,  ,  ,  ,1300-1600,MAHIT,518  ,STAFF                        ,ECONOMICS           ,                    ,                    ,30 ,16/01/2559 20:00
